NumberOfAnimals;NumberOfPlants;EmptyFields;MostPopularGenes;MeanAnimalEnergy;MeanLifetime
35;48;322;0203;9.228571428571428;0.0
35;53;318;0203;8.8;0.0
35;57;309;0203;8.485714285714286;0.0
36;62;306;0203;7.527777777777778;0.0
35;68;301;0203;7.2;4.0
35;70;297;0203;7.114285714285714;4.0
35;71;301;0203;7.142857142857143;4.0
36;75;293;0203;6.333333333333333;4.0
35;78;289;0203;6.314285714285714;6.0
35;79;290;0203;6.3428571428571425;6.0
19;84;304;0311;11.210526315789474;9.578947368421053
19;86;299;0311;11.894736842105264;9.578947368421053
20;87;299;0333;11.6;9.578947368421053
20;89;294;0333;12.2;9.578947368421053
15;90;298;0333;17.666666666666668;10.5
15;92;295;0311;18.8;10.5
14;95;294;0311;21.142857142857142;10.72
14;94;296;0311;23.285714285714285;10.72
14;96;294;0333;26.428571428571427;10.72
14;99;290;0333;27.428571428571427;10.72
14;104;283;0333;27.857142857142858;10.72
14;108;280;0333;28.571428571428573;10.72
14;112;275;0333;29.285714285714285;10.72
15;115;274;0311;27.533333333333335;10.72
15;118;271;0333;28.4;10.72
16;122;267;2100;26.5;10.72
16;123;267;2100;27.75;10.72
16;127;260;0333;29.125;10.461538461538462
17;130;259;0333;27.470588235294116;10.461538461538462
17;132;257;0333;28.352941176470587;10.461538461538462
17;134;257;0333;29.235294117647058;10.461538461538462
17;132;257;0333;31.058823529411764;10.461538461538462
16;133;255;0333;34.25;10.88888888888889
17;131;259;0311;33.470588235294116;10.88888888888889
17;129;256;0311;35.294117647058826;10.88888888888889
17;130;255;0333;36.411764705882355;10.88888888888889
20;134;254;1122;30.75;10.88888888888889
21;137;251;1122;29.142857142857142;10.88888888888889
21;137;248;1122;30.047619047619047;10.88888888888889
22;136;252;1122;29.227272727272727;10.88888888888889
21;134;251;1122;31.904761904761905;10.785714285714286
21;132;252;1122;33.19047619047619;10.785714285714286
22;133;250;1122;31.863636363636363;10.785714285714286
23;132;254;1122;30.956521739130434;10.785714285714286
24;137;246;1122;29.083333333333332;10.785714285714286
25;134;246;1122;28.6;10.785714285714286
26;135;247;12-22;27.5;10.785714285714286
27;136;245;12-22;26.444444444444443;10.785714285714286
27;133;245;12-22;27.37037037037037;10.785714285714286
28;133;247;1012;26.464285714285715;10.785714285714286
28;129;248;1012;27.464285714285715;10.785714285714286
27;132;247;1012;28.51851851851852;12.275862068965518
29;134;246;1012;25.96551724137931;12.275862068965518
28;133;245;12-22;27.464285714285715;12.8
27;135;243;12-22;28.666666666666668;12.96774193548387
28;137;243;12-22;27.428571428571427;12.96774193548387
27;137;244;22-12;28.925925925925927;12.875
26;134;249;22-12;30.653846153846153;15.647058823529411
27;131;247;22-12;30.074074074074073;15.647058823529411
28;133;248;0311;28.785714285714285;15.647058823529411
30;130;251;0311;26.933333333333334;15.647058823529411
32;135;242;0122;24.53125;15.647058823529411
31;135;241;0311;25.612903225806452;15.942857142857143
32;132;243;0311;25.125;15.942857142857143
32;132;243;0311;25.0625;17.11111111111111
31;137;239;0311;25.516129032258064;17.2972972972973
31;141;235;12-12;24.967741935483872;17.05263157894737
32;142;239;2100;23.6875;16.871794871794872
32;141;233;2100;23.75;17.3
31;142;231;2100;24.677419354838708;17.70731707317073
32;140;238;2100;24.09375;17.70731707317073
29;140;234;2100;26.96551724137931;17.363636363636363
29;146;228;2100;26.896551724137932;17.363636363636363
30;148;227;2100;25.733333333333334;17.363636363636363
32;150;231;2100;23.5;17.363636363636363
30;150;227;12-31;25.4;17.695652173913043
31;154;224;12-31;23.70967741935484;18.04255319148936
32;153;224;12-31;23.03125;18.04255319148936
34;154;224;12-31;21.147058823529413;18.04255319148936
34;153;222;12-31;21.441176470588236;18.04255319148936
35;150;226;12-31;21.02857142857143;18.04255319148936
36;150;225;12-31;20.27777777777778;18.04255319148936
36;150;225;12-31;20.11111111111111;17.833333333333332
34;150;224;12-31;21.470588235294116;18.32
34;152;223;12-31;21.41176470588235;18.32
34;151;223;12-31;21.705882352941178;18.32
33;151;224;12-31;22.575757575757574;18.15686274509804
33;149;227;12-31;22.727272727272727;18.692307692307693
32;153;225;0122;23.1875;18.60377358490566
32;156;224;0122;22.75;19.22222222222222
33;163;213;0122;21.12121212121212;19.22222222222222
32;159;217;0122;22.53125;19.345454545454544
29;162;211;2100;24.82758620689655;19.75862068965517
30;163;214;2100;23.866666666666667;19.75862068965517
31;164;212;2100;22.93548387096774;19.75862068965517
31;168;209;2100;22.387096774193548;19.661016949152543
31;166;208;2100;22.93548387096774;19.661016949152543
32;167;205;2100;22.03125;19.661016949152543
33;167;208;12-31;21.272727272727273;19.661016949152543
32;170;210;2100;21.5;20.0327868852459
33;172;202;2100;20.515151515151516;20.0327868852459
33;172;203;2100;20.424242424242426;20.451612903225808
33;172;201;2100;20.636363636363637;20.451612903225808
31;173;204;2100;21.806451612903224;21.384615384615383
31;180;202;2100;20.225806451612904;21.852941176470587
30;183;192;2100;20.833333333333332;21.594202898550726
29;183;199;0101;21.586206896551722;21.661971830985916
28;183;194;1101;22.428571428571427;22.84931506849315
27;186;192;1101;23.77777777777778;22.972972972972972
28;184;196;1101;23.285714285714285;22.972972972972972
25;184;196;1101;26.68;23.61038961038961
25;183;197;1101;27.44;23.61038961038961
25;180;202;1101;28.12;23.487179487179485
26;178;202;1101;27.5;23.487179487179485
26;180;200;1101;27.73076923076923;23.487179487179485
27;184;198;1101;26.22222222222222;23.487179487179485
30;186;195;22-12;22.666666666666668;23.487179487179485
30;184;197;2201;22.933333333333334;24.658227848101266
30;181;193;2201;23.666666666666668;24.658227848101266
30;180;197;2201;23.8;24.725
29;184;195;2201;24.448275862068964;24.51851851851852
28;187;191;22-12;24.964285714285715;24.337349397590362
27;186;191;22-12;26.51851851851852;25.571428571428573
28;188;191;22-12;25.357142857142858;25.571428571428573
27;192;184;22-12;26.185185185185187;25.623529411764707
26;190;189;22-12;28.03846153846154;25.627906976744185
28;190;189;2201;25.75;25.627906976744185
28;186;192;2201;26.75;25.627906976744185
29;185;196;2201;26.0;25.627906976744185
30;185;194;2201;25.133333333333333;25.627906976744185
31;180;194;2201;24.93548387096774;25.627906976744185
31;178;196;2201;25.483870967741936;25.627906976744185
32;179;197;22-12;23.78125;25.95505617977528
32;176;199;22-12;24.40625;25.95505617977528
32;176;199;22-12;24.34375;25.8
33;179;198;22-12;23.151515151515152;25.8
34;177;200;22-12;22.58823529411765;25.8
35;173;204;22-12;21.97142857142857;25.626373626373628
33;172;203;22-12;23.636363636363637;25.225806451612904
34;175;199;22-12;22.176470588235293;26.51063829787234
34;177;195;22-12;21.823529411764707;26.31578947368421
32;177;199;22-12;23.4375;27.298969072164947
33;179;200;22-12;22.09090909090909;27.428571428571427
32;181;192;22-12;22.46875;27.1
32;182;196;2201;22.28125;27.128712871287128
30;186;192;22-12;23.566666666666666;26.75728155339806
30;182;195;2012;24.1;26.75
29;178;198;2202;25.17241379310345;26.654205607476637
29;177;200;2202;25.689655172413794;26.654205607476637
30;177;202;2202;24.833333333333332;26.654205607476637
28;181;194;22-12;26.892857142857142;26.807339449541285
28;172;201;22-12;28.178571428571427;26.807339449541285
28;182;194;22-12;27.178571428571427;26.807339449541285
26;185;191;22-12;29.346153846153847;26.666666666666668
26;189;188;22-12;29.26923076923077;26.666666666666668
26;192;185;22-12;29.346153846153847;26.666666666666668
27;194;186;22-12;28.555555555555557;26.666666666666668
29;192;186;2202;26.551724137931036;26.666666666666668
29;191;184;2202;26.724137931034484;26.678571428571427
29;192;183;2202;26.96551724137931;26.678571428571427
30;194;181;2202;25.8;26.678571428571427
30;194;185;2202;25.8;26.601769911504423
30;193;183;2202;25.933333333333334;26.54385964912281
30;193;180;2202;26.266666666666666;26.54385964912281
31;192;183;2202;25.516129032258064;26.54385964912281
30;196;179;2202;26.166666666666668;27.269565217391303
30;199;178;2202;25.766666666666666;27.74137931034483
30;198;181;2103;25.566666666666666;27.8135593220339
29;198;179;2103;26.482758620689655;27.7
30;199;179;2103;25.466666666666665;27.7
30;198;181;2103;25.933333333333334;27.7
28;198;178;2103;28.214285714285715;27.983606557377048
27;200;176;2103;29.444444444444443;27.853658536585368
27;198;180;2202;29.85185185185185;27.93548387096774
26;199;179;2202;31.384615384615383;27.84
26;197;179;2202;32.23076923076923;27.84
27;196;185;2202;31.296296296296298;27.84
29;197;183;2202;28.689655172413794;27.84
30;202;176;2202;27.066666666666666;27.84
30;200;176;2202;27.666666666666668;27.84
31;197;178;2202;27.129032258064516;27.84
29;194;181;2202;29.79310344827586;27.669291338582678
29;193;183;2202;30.310344827586206;27.669291338582678
29;191;182;2202;30.96551724137931;27.669291338582678
30;191;183;2202;29.933333333333334;27.669291338582678
31;191;186;2202;28.612903225806452;27.796875
29;191;186;-1013;30.620689655172413;27.6793893129771
29;188;188;-1013;31.413793103448278;27.6793893129771
33;189;190;2325;26.484848484848484;27.6793893129771
30;184;191;2325;30.133333333333333;27.47761194029851
30;183;193;2012;30.266666666666666;27.585185185185185
30;183;191;2012;30.6;27.585185185185185
30;182;192;2012;31.066666666666666;27.585185185185185
29;180;200;2012;32.793103448275865;27.647058823529413
30;180;197;2012;31.7;27.647058823529413
29;180;196;2012;33.172413793103445;27.576642335766422
29;182;193;2012;33.275862068965516;27.576642335766422
30;183;193;2012;32.03333333333333;27.576642335766422
31;179;199;2012;31.483870967741936;27.576642335766422
31;181;194;2012;31.483870967741936;27.565217391304348
31;183;194;2012;31.516129032258064;27.565217391304348
31;183;190;2012;31.483870967741936;27.467625899280577
31;181;190;2012;32.03225806451613;27.467625899280577
32;180;197;2325;31.09375;27.467625899280577
33;178;196;2325;30.303030303030305;27.467625899280577
34;180;194;2325;28.764705882352942;27.414285714285715
35;182;194;2325;27.571428571428573;27.414285714285715
36;181;199;2325;26.47222222222222;27.29078014184397
35;178;202;2325;27.142857142857142;27.26388888888889
34;176;195;2325;28.352941176470587;27.73793103448276
37;178;196;2325;25.10810810810811;27.73793103448276
33;178;198;2325;28.363636363636363;27.825503355704697
32;178;195;2325;29.5;28.133333333333333
34;177;199;2325;27.470588235294116;28.133333333333333
34;177;198;2325;27.352941176470587;28.43708609271523
33;179;200;2325;28.151515151515152;28.31578947368421
32;179;199;2325;28.96875;28.194805194805195
29;180;199;11-20;32.206896551724135;28.484076433121018
29;179;199;11-20;32.37931034482759;28.379746835443036
27;177;204;11-20;35.55555555555556;28.45
27;175;202;11-20;36.333333333333336;28.45
28;179;199;11-20;34.535714285714285;28.45
29;182;195;11-20;32.96551724137931;28.45
29;184;195;11-20;32.724137931034484;28.40993788819876
29;183;194;11-20;32.89655172413793;28.320987654320987
29;184;194;11-20;33.13793103448276;28.320987654320987
28;181;198;11-20;35.17857142857143;28.208588957055216
28;182;193;11-20;35.464285714285715;28.208588957055216
28;182;194;11-20;35.892857142857146;28.208588957055216
29;187;190;11-20;34.0;28.208588957055216
28;185;191;11-20;35.92857142857143;28.170731707317074
27;188;193;11-20;36.925925925925924;28.57831325301205
26;190;190;11-20;39.11538461538461;28.491017964071855
26;191;189;11-20;39.5;28.491017964071855
26;191;191;12-23;39.65384615384615;28.452380952380953
26;189;189;12-23;40.5;28.452380952380953
24;193;187;12-23;43.875;28.258823529411764
25;197;183;12-23;41.68;28.258823529411764
26;194;186;12-23;40.69230769230769;28.258823529411764
28;194;188;12-23;37.5;28.258823529411764
30;195;185;1012;34.53333333333333;28.258823529411764
30;195;185;1012;34.53333333333333;28.258823529411764
31;197;181;0021;33.12903225806452;28.258823529411764
31;197;181;0021;33.12903225806452;28.258823529411764
31;197;181;0021;33.12903225806452;28.258823529411764
30;195;181;0021;34.833333333333336;28.210526315789473
30;195;181;0021;34.833333333333336;28.210526315789473
29;193;182;12-23;36.689655172413794;28.174418604651162
29;193;182;12-23;36.689655172413794;28.174418604651162
29;193;188;12-23;36.724137931034484;28.23121387283237
29;193;188;12-23;36.724137931034484;28.23121387283237
29;193;188;12-23;36.724137931034484;28.23121387283237
30;194;184;12-23;35.03333333333333;28.195402298850574
30;194;184;12-23;35.03333333333333;28.195402298850574
30;194;184;12-23;35.36666666666667;28.195402298850574
30;194;184;12-23;35.36666666666667;28.195402298850574
30;194;184;12-23;35.36666666666667;28.195402298850574
